state,year,month,maxTemp
Queensland,2020,May,25.42357724
South Australia,2020,May,17.43709677
Tasmania,2020,May,15.25529412
Victoria,2020,May,15.23467742
Western Australia,2020,May,24.01287129
Australian Capital Territory,2019,November,26.49833333
New South Wales,2019,November,27.4773913
Northern Territory,2019,November,36.04827586
Queensland,2019,November,30.92978723
South Australia,2019,November,23.73050847
Tasmania,2019,November,19.06292135
Victoria,2019,November,23.11932773
Western Australia,2019,November,29.3375
Australian Capital Territory,2020,November,25.19166667
New South Wales,2020,November,26.64588235
Northern Territory,2020,November,37.76590909
Queensland,2020,November,29.90862069
South Australia,2020,November,27.43777778
Tasmania,2020,November,21.58111111
Victoria,2020,November,25.79583333
Western Australia,2020,November,27.88690265
Australian Capital Territory,2019,October,23.43709677
New South Wales,2019,October,24.8440678
Northern Territory,2019,October,35.30978261
Queensland,2019,October,28.2787037
South Australia,2019,October,23.75983607
Tasmania,2019,October,18.09569892
Victoria,2019,October,21.9804878
Western Australia,2019,October,26.71311475
Australian Capital Territory,2020,October,20.41774194
New South Wales,2020,October,24.175
Northern Territory,2020,October,33.21904762
Queensland,2020,October,28.76239316
South Australia,2020,October,20.75806452
Tasmania,2020,October,16.69892473
Victoria,2020,October,19.9
Western Australia,2020,October,25.88898305
Australian Capital Territory,2019,September,18.69166667
New South Wales,2019,September,22.05087719
Northern Territory,2019,September,31.16
Queensland,2019,September,27.52820513
South Australia,2019,September,19.17207207
Tasmania,2019,September,15.9875
Victoria,2019,September,16.68083333
Western Australia,2019,September,25.14916667
Australian Capital Territory,2020,September,17.53559322
New South Wales,2020,September,22.68095238
Northern Territory,2020,September,33.41022727
Queensland,2020,September,26.84237288
South Australia,2020,September,19.68666667
Tasmania,2020,September,15.77
Victoria,2020,September,17.30333333
Western Australia,2020,September,24.24789916
